YIL,Ocak,Subat,Mart,Nisan,Mayis,Haziran,Temmuz,Agustos,Eylul,Ekim,Kasim,Aralik,Toplam
2010,20.095,31.172,51.769,54.946,59.377,60.896,61.345,61.764,63.814,73.404,73.962,148.369,760.913
2011,44.892,58.663,78.403,77.695,80.646,81.573,63.044,58.406,60.129,69.421,63.657,127.910,864.439
2012,29.545,41.324,64.884,62.949,70.863,71.067,62.304,58.148,69.629,59.938,71.710,115.400,777.761
2013,35.523,48.307,68.774,73.575,81.468,74.096,71.596,65.043,67.963,58.014,79.301,129.718,853.378
2014,32.670,35.021,47.581,53.305,58.121,60.163,59.907,60.199,66.531,66.573,80.621,146.989,767.681
2015,34.615,55.331,83.302,91.602,81.542,86.158,83.836,82.577,64.025,64.255,84.601,156.173,968.017
2016,32.713,52.825,82.948,84.887,93.904,91.540,58.533,71.556,67.593,83.000,122.309,141.912,983.720
2017,35.323,46.965,73.802,75.988,85.422,83.658,82.297,72.536,71.352,91.752,100.859,136.240,965.194
2018,35.076,47.009,76.345,71.126,72.755,51.037,52.734,34.346,23.028,21.571,58.204,77.706,620.937
2019,14.373,24.875,49.221,30.971,33.016,42.688,17.927,26.246,41.992,49.075,58.176,90.500,479.060
2020,27.273,47.122,50.008,26.457,32.235,70.973,87.401,61.533,90.619,94.733,80.141,104.293,772.788
2021,43.728,58.122,96.428,61.488,54.734,79.819,47.849,58.454,57.141,56.746,60.216,62.243,737.350
2022,38.131,
